Date,Time,Area Affected,Event Type
2006-02-12 00:00:00,12:06 a.m.,"Washington DC, Montgomery and Prince Georges Counties MD",Major Snow Storm
2006-02-12 00:00:00,2:00 a.m.,Entire Atlantic City Electric territory Southern New Jersey,Winter Snow/Ice Storm
2006-02-12 00:00:00,2:00 a.m.,Entire Delmarva Power service territory,Winter Snow/Ice Storm
2006-02-12 00:00:00,5:55 a.m.,Northern and Northwestern Virginia,Severe Snow Storm
2006-02-16 00:00:00,12:00 p.m.,"Muskegon, Michigan easterly to Bay City, Michigan",Severe Thunderstorm/ Snow/Ice Storm
2006-02-16 00:00:00,Ongoing,North Dakota,Fuel Supply - Deficiency Coal Rail Transportation Interruption
2006-02-17 00:00:00,4:32 a.m.,Upstate New York,Severe Weather
2006-02-18 00:00:00,8:50 a.m.,Colorado,Inadequate Electric Resources to Serve Load
2006-02-27 00:00:00,6:25 p.m.,Northern and Central California,Severe Winter Storm
2006-03-09 00:00:00,2:00 p.m.,"Arkansas, Mississippi, Louisiana, Southeast Texas",Severe Weather
2006-03-12 00:00:00,8:30 p.m.,"Springfield, Illinois and vicinity",Severe Weather
2006-04-02 00:00:00,9:00 p.m.,Southern half of Indiana,Major Storms/Tornadoes
2006-04-07 00:00:00,8:43 a.m.,Island of Puerto Rico,Voltage Reduction/Load Shed
2006-04-08 00:00:00,4:00 a.m.,North and Central Alabama and Northern Georgia areas,Severe Weather/ Tornadoes
2006-04-17 00:00:00,3:25 p.m.,ERCOT Region of Texas,Load Shed/Declared EECP
2006-04-17 00:00:00,4:10 p.m.,System-wide greater Houston metro area (and across ERCOT),Load Shed/Made Public Appeals/Rolling Blackouts
2006-04-17 00:00:00,4:11 p.m.,North and East Texas,Load Shed/ Declared EECP
2006-04-17 00:00:00,4:20 p.m.,State of Texas (all of Austin Energy),Load Shed/Made Public Appeals/Rolling Blackouts
2006-04-17 00:00:00,4:35 p.m.,AEP Texas Central/Texas North,Load Shed/Declared EECP
2006-04-21 00:00:00,7:00 a.m.,System-wide greater Houston metro area,Severe Weather
2006-04-29 00:00:00,2:55 p.m.,Island of Puerto Rico,Lightning Storm
2006-05-03 00:00:00,3:30 p.m.,City of Bakersfield area,Transmission Equipment Failure/Fire
2006-05-04 00:00:00,2:12 p.m.,Island of Puerto Rico,Load Shed
2006-05-19 00:00:00,3:13 p.m.,"San Francisco Bay area, California",Lightning Strike
2006-05-25 00:00:00,7:50 p.m.,"Southwest Ohio, Northern Kentucky, Central Indiana",Severe Weather
2006-06-01 00:00:00,2:12 p.m.,Island of Oahu,Load Shed
2006-06-01 00:00:00,6:00 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Weather
2006-06-01 00:00:00,6:30 p.m.,Central Maryland,Severe Thunderstorms
2006-06-11 00:00:00,6:00 p.m.,"Charlotte, North Carolina Metropolitan area",Severe Thunderstorm
2006-06-22 00:00:00,2:00 p.m.,Ohio and Indiana,Severe Thunderstorms
2006-07-02 00:00:00,6:39 p.m.,Northern Virginia,Severe Thunderstorms
2006-07-04 00:00:00,5:30 p.m.,Northern Virginia,Severe Thunderstorms
2006-07-16 00:00:00,2:00 p.m.,Middle 1/3 of Michigan Lower Peninsula,Severe Lightning Storms
2006-07-17 00:00:00,6:50 p.m.,"Northwest Queens, New York City",Severe Weather/Public Appeals Made/Voltage Reduction
2006-07-17 00:00:00,9:00 p.m.,Northern Counties of Illinois,Severe Lightning Storms
2006-07-18 00:00:00,6:36 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Lightning Storms
2006-07-18 00:00:00,8:07 p.m.,"Norwalk, Stamford, Connecticut",Lightning Storms/Tripped Lines
2006-07-19 00:00:00,11:00 a.m.,"Greater Little Rock, Arkansas",Load Reduction/Public Appeals Made
2006-07-19 00:00:00,6:00 p.m.,Greater St. Louis Metropolitan area (Missouri and Illinois),Severe Storms (3) (Many customers experienced multiple outages.)
2006-07-22 00:00:00,1:09 p.m.,California,Widespread Heat Wave/Public Appeals Made
2006-07-24 00:00:00,2:33 p.m.,California,Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan
2006-07-24 00:00:00,2:33 p.m.,California,Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan
2006-07-27 00:00:00,6:38 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Severe Thunderstorms
2006-08-01 00:00:00,12:00 p.m.,Northern Ohio,Made Public Appeals/Heat Wave
2006-08-01 00:00:00,1:00 p.m.,"Ohio, Indiana, Kentucky",Made Public Appeals
2006-08-02 00:00:00,12:00 p.m.,"Midwest ISO's Market Sub-regions:  AMRN, CIN, CILC, CWLD, CWLP, FE, HE, IP, IPL, LGEE, MECS, NIPS, SIGE, SIPC",Declared Energy Emergency Alert 2/Heat Wave
2006-08-02 00:00:00,1:00 p.m.,New England,System Wide Voltage Reduction
2006-08-02 00:00:00,7:00 p.m.,New England,Severe Thunderstorms
2006-08-03 00:00:00,2:16 p.m.,Island of Puerto Rico,Shed Firm Load
2006-08-07 00:00:00,1:00 p.m.,"Tulsa, Oklahoma",Made Public Appeals
2006-08-10 00:00:00,8:00 p.m.,Southwest Idaho and Eastern Oregon,Severe Thunderstorm
2006-08-24 00:00:00,9:58 p.m.,Island of Puerto Rico,Shed Firm Load/Reduced Voltage
2006-09-01 00:00:00,5:30 a.m.,Eastern North Carolina,Tropical Storm Ernesto
2006-09-01 00:00:00,6:41 a.m.,Virginia and North Carolina,Tropical Storm Ernesto
2006-09-01 00:00:00,10:00 a.m.,Southern Delmarva Peninsula,Tropical Storm Ernesto
2006-09-01 00:00:00,3:00 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",Tropical Storm Ernesto
2006-09-01 00:00:00,8:00 p.m.,Southern New Jersey Counties,Tropical Storm Ernesto
2006-09-14 00:00:00,8:56 a.m.,Island of Puerto Rico,Shed Firm Load/ Reduced Voltage
2006-09-28 00:00:00,8:08 p.m.,"North, Central and Eastern Virginia and Northern North Carolina",Severe Thunderstorms
2006-10-02 00:00:00,2:00 p.m.,"Chicago Metro, Northeast Illinois",Severe Thunderstorms
2006-10-02 00:00:00,3:05 p.m.,"Newhall, San Frenando, Saugus, and Santa Clarita, California",Shed Firm Load
2006-10-03 00:00:00,5:28 p.m.,"Grimes, Robertson, Fort Bend, Brazos, Burleson and Walker Counties",Shed Firm Load
2006-10-12 00:00:00,5:48 p.m.,Western New York State,Snow Storm
2006-10-12 00:00:00,8:00 p.m.,Western New York State,Snow Storm
2006-10-15 00:00:00,7:09 a.m.,Island of Maui,Earthquakes
2006-10-15 00:00:00,7:09 a.m.,Island of Oahu,Earthquakes
2006-10-20 00:00:00,1:00 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks Counties, Pennsylvania",High Winds
2006-10-26 00:00:00,5:30 a.m.,"Metro Denver and Boulder, Colorado",Wet Snow/Winds
2006-11-15 00:00:00,10:00 a.m.,System-wide greater Houston area,High Winds
2006-11-15 00:00:00,1:00 p.m.,"Whatcom and Skagit Counties, Washington",High Winds
2006-11-15 00:00:00,3:00 p.m.,Georgia,Severe Weather
2006-11-26 00:00:00,1:00 p.m.,"Snohomish County, Washington",Wind/Snow Storm
2006-11-30 00:00:00,9:00 p.m.,Missouri and Illinois,Ice Storm
2006-12-01 00:00:00,6:20 p.m.,Ohio,Wind Storm
2006-12-10 00:00:00,7:35 p.m.,"San Francisco Bay area, California",Unit Tripped
2006-12-13 00:00:00,4:30 a.m.,Western Washington,Wind Storm
2006-12-14 00:00:00,12:01 a.m.,"City of Seattle, Washington",Wind Storm
2006-12-14 00:00:00,5:30 a.m.,"Snohomish County, Washington",Wind Storm
2006-12-14 00:00:00,9:44 a.m.,"Oregon, Washington, Idaho, Montana",Wind Storm
2006-12-14 00:00:00,12:07 p.m.,State of Oregon Coastal area,HIgh Winds
2006-12-14 00:00:00,5:00 p.m.,"Greater Tacoma area (City of Fircrest, University Place, City of Lakeland) and portions of South Pierce County in State of Washington",High Winds
2006-12-14 00:00:00,7:00 p.m.,"Oregon Counties: Multnomah, Clackamas, Washington, Marion",High Winds
2006-12-16 00:00:00,7:30 p.m.,"Oregon Counties:  Washington, Yamhill",Transmission Equipment/Fire
2006-12-26 00:00:00,12:01 a.m.,Northern California,Severe Weather
2006-12-29 00:00:00,4:25 p.m.,North Part of the Island,Main Power Transformer Failure/Voltage Reduction/Fire
2006-12-30 00:00:00,10:25 p.m.,"Gosper, Harlan, Franklin, Webster, Clay, Adams, Kearney, Phelps, Dawson, Buffalo, Hall, Hamilton, Sherman, Custer, Valley, Greeley, Howard, Merrick, York, Fillmore, Nance, Boone, Wheeler, Madison, Antelope, Pierce, Platte and Seward Counties in Central Nebraska",Severe Weather
2007-01-05 00:00:00,10:44 a.m.,Island of Puerto Rico,Voltage Reduction
2007-01-13 00:00:00,5:00 a.m.,Missouri and Illinois,Ice Storm
2007-01-13 00:00:00,7:30 a.m.,Eastern and Lower Michigan,Ice Storm
2007-01-16 00:00:00,2:00 a.m.,"Snohomish County, Washington",Major Windstorm
2007-02-13 00:00:00,2:00 p.m.,Indiana and Southwest Ohio,Ice/Wind Storm
2007-02-13 00:00:00,5:00 p.m.,Central Maryland,Winter Storm
2007-02-24 00:00:00,4:00 p.m.,"NE quarter of State of Iowa and Rock Island, Illinois",Ice Storm
2007-02-24 00:00:00,6:00 p.m.,Central Iowa and Cedar Rapids areas,Ice Storm
2007-02-24 00:00:00,7:23 p.m.,"Cedar Rapids, Iowa",Ice Storm
2007-02-28 00:00:00,12:45 a.m.,Northern California,Winter Storm
2007-03-01 00:00:00,9:40 p.m.,"Parts of Alabama, Mississippi, Georgia, Florida",Major Storm
2007-03-31 00:00:00,7:30 a.m.,"Houston, Texas",Severe Thunderstorms
2007-04-05 00:00:00,9:20 p.m.,Southern and Coastal Maine,Heavy Snow Storm
2007-04-12 00:00:00,12:32 a.m.,"City of Los Angeles, California",High Winds
2007-04-12 00:00:00,9:09 a.m.,"San Francisco Bay Area, California",Trip of a Unit
2007-04-14 00:00:00,9:00 a.m.,"Massachusetts, New Hampshire, Rhode Island",High Winds
2007-04-16 00:00:00,8:00 a.m.,New Hampshire,Severe Thunderstorms
2007-04-16 00:00:00,10:14 a.m.,Southern and Coastal Maine,Heavy Snow Storm
2007-04-16 00:00:00,11:00 a.m.,North and South Carolina,HIgh Winds
2007-04-16 00:00:00,2:00 p.m.,Central Maryland - Baltimore City and surrounding Counties,Severe Thunderstorms
2007-04-16 00:00:00,2:04 p.m.,"North, East and Central Virginia/Parts of Northeast North Carolina",High Winds
2007-05-02 00:00:00,1:30 p.m.,"North Texas, Dallas Fort Worth Metroplex and Surrounding Counties, South to Waco and North to Red River",Severe Storms
2007-05-10 00:00:00,9:57 a.m.,"San Francisco Bay Area, California",Unit Tripped
2007-05-14 00:00:00,11:15 a.m.,"San Francisco Bay Area, California",Unit Tripped
2007-05-15 00:00:00,3:00 p.m.,Southeastern Michigan,Severe Thunderstorms
2007-05-16 00:00:00,6:00 p.m.,All of Connecticut,Severe Storm
2007-05-21 00:00:00,1:48 p.m.,"San Franscisco Bay Area, California",Unit Tripped
2007-06-01 00:00:00,1:00 p.m.,Restricted Hydroelectric Capability,Fuel Supply Deficiency
2007-06-05 00:00:00,10:56 a.m.,Southwest Idaho and Eastern Oregon,Load Shedding
2007-06-27 00:00:00,3:41 p.m.,"Northern Manhattan NY (Yorkville) and SW Bronx (Motthaven, Melrose, High Bridge Sections)",Lightning
2007-06-27 00:00:00,3:42 p.m.,New York State,Loss of Load
2007-06-29 00:00:00,9:23 a.m.,Metropolitan Phoenix Area,Loss of Load
2007-07-03 00:00:00,10:59 a.m.,CAISO Controlled Grid,Public Appeal
2007-07-05 00:00:00,7:00 p.m.,Southeastern Michigan,Severe Storm
2007-07-06 00:00:00,5:18 p.m.,Southeast Idaho and Eastern Oregon,Electrical Separation/Load Shedding/Made Public Appeal
2007-07-10 00:00:00,11:00 a.m.,Eastern New York,Major Storms
2007-07-16 00:00:00,4:17 p.m.,"St. George, Utah",Fire/Load Shedding
2007-07-18 00:00:00,6:00 p.m.,Northern Counties of Illinois,Severe Weather
2007-07-19 00:00:00,3:00 p.m.,Southwestern Region of Service Territory,Major Storm
2007-07-19 00:00:00,3:50 p.m.,"North, East and Central Virginia",Major Storms
2007-08-08 00:00:00,1:00 p.m.,Portions of North Carolina and South Carolina,Made Public Appeal
2007-08-08 00:00:00,3:56 p.m.,Mid-Altantic Region of PJM,Voltage Reduction/Made Public Appeal
2007-08-09 00:00:00,12:45 p.m.,Portions of North Carolina and South Carolina,Made Public Appeal
2007-08-09 00:00:00,2:53 p.m.,"Highland Area of Pittsburgh, Pennsylvania",Severe Thunderstorms
2007-08-10 00:00:00,12:20 p.m.,Portions of North Carolina and South Carolina,Made Public Appeal
2007-08-13 00:00:00,1:30 a.m.,State of Missouri,Severe Thunderstorm
2007-08-14 00:00:00,2:00 p.m.,"CSWS Control Area of Southwest Power Pool Parts of Oklahoma, Texas, Louisiana, Arkansas",Declared Energy Emergency Alert2/Heat Wave
2007-08-16 00:00:00,9:30 p.m.,Virginia and Eastern North Carolina - Primarily in Central Virginia,Severe Weather
2007-08-19 00:00:00,11:34 p.m.,Central and Eastern Virginia,Severe Thunderstorms
2007-08-23 00:00:00,4:00 p.m.,Northern Illinois,Severe Storms
2007-08-24 00:00:00,6:00 p.m.,Southeastern Michigan,Severe Storm
2007-08-29 00:00:00,1:53 p.m.,Modesto California and the Surrounding Areas,Shed Load
2007-08-29 00:00:00,4:00 p.m.,CAISO Controlled Grid,Made Public Appeal
2007-08-31 00:00:00,12:45 p.m.,CAISO Controlled Grid,Declared Energy Emergency Alert 1/Heat wave
2007-09-03 00:00:00,12:30 p.m.,"San Diego County, Southern Orange County, California",High Temperatures/Made Public Appeals
2007-09-04 00:00:00,8:30 a.m.,"San Diego County, Southern Orange County, California",High Temperatures/Made Public Appeals
2007-09-05 00:00:00,7:53 a.m.,"Central Texas, ERCOT Grid",Severe Weather/Transmission Fault-Units Tripped
2007-09-06 00:00:00,8:00 p.m.,Hydro Electric System,Fuel Supply Deficiency
2007-09-13 00:00:00,4:00 a.m.,"Between Galveston and Beaumont, Texas",Hurricane Humberto
2007-09-17 00:00:00,7:01 p.m.,"City of Crawfordsville, Indiana",Electrical System Separation
2007-09-18 00:00:00,5:14 a.m.,"Minnesota, Wisconsin, North Dakota, South Dakota and Michigan",Electrical System Separation/Load Shedding/ Implemented Emergency Alert/Severe Storms
2007-09-18 00:00:00,5:15 a.m.,"Minnesota, North Dakota, Manitoba",Electrical System Separation/Load Shedding/ Implemented Emergency Alert/Severe Storms
2007-09-18 00:00:00,5:15 a.m.,"Manitoba, Minnesota, North Dakota, Portions of South Dakota and Wisconsin.  Midwest ISO's Market subregions: OTP, NSP, GRE, ALTW, MP",Electrical System Separation/Load Shedding/ Implemented Emergency Alert/ Severe Storms
2007-09-24 00:00:00,1:38 p.m.,Southwest Michigan,Unit Tripped
2007-10-18 00:00:00,3:00 p.m.,Western Washington,High Winds
2007-10-22 00:00:00,2:01 p.m.,Southern California,Brush Fire/Load Shedding/Implemented Emergency Alert
2007-10-22 00:00:00,2:05 p.m.,Southern California,Brush Fire/Load Shedding
2007-10-22 00:00:00,2:06 p.m.,"San Diego County, California",Brush Fire/Load Shedding
2007-10-26 00:00:00,6:44 a.m.,Southern Califonia,Brush Fire/Load Shedding
2007-10-26 00:00:00,6:44 a.m.,"Riverside, California",Load Shedding
2007-11-03 00:00:00,6:00 p.m.,"Eastern Massachusetts, Rhode Island, Cape Cod",Tropical Storm
2007-12-01 00:00:00,6:04 p.m.,State of Maine,Voltage Reduction/Made Public Appeal/Fuel Deficiency
2007-12-04 00:00:00,2:16 p.m.,Island of Puerto Rico,Voltage Reduction
2007-12-10 00:00:00,3:08 a.m.,"Tulsa, Oklahoma",Ice Storm
2007-12-11 00:00:00,4:00 a.m.,Eastern half of the State of Kansas,Ice Storm
2007-12-11 00:00:00,8:57 p.m.,Island of Puerto Rico,Voltage Reduction
2007-12-23 00:00:00,1:00 a.m.,The Entire ComEd Service Territory,Severe Storm
2007-12-23 00:00:00,5:30 a.m.,Lower 2/3 of Michigan Lower Peninsula,Winter Storm
2008-01-29 00:00:00,5:00 a.m.,"San Francisco Bay Area, California",Exciter Faulted
2008-01-29 00:00:00,4:00 p.m.,"Arkansas, Mississippi, North Louisiana",Severe Thunderstorms
2008-01-29 00:00:00,10:00 p.m.,Southeastern Michigan,Wind/Ice Storm
2008-01-29 00:00:00,11:23 p.m.,"South Metropolitan Areas of Dayton, OHio",High Winds
2008-01-30 00:00:00,3:06 a.m.,"Western, New York",High Winds
2008-02-01 00:00:00,6:00 a.m.,"San Francisco Bay Area, California",Equipment Faulted
2008-02-02 00:00:00,3:58 a.m.,"San Francisco Bay Area, California",Equipment Faulted
2008-02-05 00:00:00,10:00 p.m.,State of Kentucky,Severe Weather
2008-02-06 00:00:00,9:00 a.m.,Mid to West Tennessee,Severe Weather
2008-02-09 00:00:00,11:59 a.m.,"Near Arnold, California",Electrical System Separation
2008-02-10 00:00:00,4:00 a.m.,"Southwestern Pennsylvania, West Virginia, Virginia, Maryland",Severe Weather
2008-02-10 00:00:00,11:00 a.m.,"Virginia, West Virginia, Ohio, Pennsylvania",High Winds
2008-02-10 00:00:00,11:00 a.m.,Virginia and West Virginia Area of AEP,High Winds
2008-02-10 00:00:00,2:06 p.m.,Dominion Service Territory,High Winds
2008-02-10 00:00:00,6:02 p.m.,"Greenboro, North Carolina and I-40 Corridor",High Winds
2008-02-12 00:00:00,3:00 p.m.,"Arkansas, Mississippi, Louisiana",Severe Weather
2008-02-13 00:00:00,6:43 p.m.,State of Maine,Ice Storm
2008-02-14 00:00:00,8:15 a.m.,Utah,Load Shedding
2008-02-15 00:00:00,3:06 p.m.,"Antioch, California",Electrical System Separation
2008-02-25 00:00:00,8:00 a.m.,Restricted Coal Capability,Fuel Supply Deficiency
2008-02-26 00:00:00,5:00 a.m.,Southern Service Area/Alabama and Georgia,Thunderstorms
2008-02-26 00:00:00,1:09 p.m.,Various Cities in Florida,Under Frequency/Load Shedding
2008-02-26 00:00:00,1:09 p.m.,Tampa Electric Service Territory,Under Frequency/Load Shedding
2008-02-26 00:00:00,1:09 p.m.,Primary Dade County Florida,Transmission Equipment Failure
2008-02-26 00:00:00,1:09 p.m.,FRCC Region-West Coast Florida,Shed Firm Load
2008-02-26 00:00:00,1:10 p.m.,"The entire PEF system was affected, including the following counties: Alachua, Bay, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osecola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia, Wakulla.",Under Frequency/Load Shedding
2008-03-04 00:00:00,9:30 p.m.,North and South Carolina,Thunderstorms
2008-03-08 00:00:00,2:14 p.m.,Virginia and Eastern Part of North Carolina,Windstorm
2008-03-08 00:00:00,4:00 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",Severe Weather
2008-03-15 00:00:00,8:55 p.m.,Parts of Alabama and Georgia,Major Storm
2008-04-04 00:00:00,12:31 p.m.,"Arkansas, North Louisiana, Mississippi",Severe Thunderstorms
2008-04-09 00:00:00,4:00 p.m.,"North, Central and East Texas",Severe Weather
2008-05-08 00:00:00,10:21 a.m.,California,Load Shedding
2008-05-11 00:00:00,6:00 a.m.,Georgia,Severe Thunderstorms
2008-05-11 00:00:00,4:50 p.m.,"City of Crawfordsville, Indiana",Electric System Separation
2008-05-12 00:00:00,12:01 a.m.,"Cape May, Cumberland, Gloucester, Salem, Camden, Atlantic, Burliington  Counties, New Jersey",Severe Storm
2008-05-27 00:00:00,2:02 p.m.,South West Connecticut,Lightning Storm
2008-05-30 00:00:00,9:30 a.m.,Northern and Western Counties of Illinois,Severe Storms
2008-05-30 00:00:00,2:05 p.m.,South Louisiana,"Load Shedding, Inadequate Electric Resources to Serve Load"
2008-05-30 00:00:00,10:00 p.m.,"Northeastern Marion County, Indiana",Severe Thunderstorms
2008-06-03 00:00:00,5:00 p.m.,"Maryland, West Virginia, Virginia",Severe Weather
2008-06-04 00:00:00,3:00 p.m.,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",Lightning Storm
2008-06-04 00:00:00,3:00 p.m.,Entire BGE Service Territory,Severe Storms
2008-06-04 00:00:00,3:04 p.m.,Northern Virginia,Thunderstorms
2008-06-04 00:00:00,3:14 p.m.,Island of Puerto Rico,Load Shedding/Voltage Reduction
2008-06-06 00:00:00,3:18 p.m.,Lower 2/3 of Michigan's Lower Peninsula,Lightning Storm
2008-06-08 00:00:00,9:30 a.m.,The Entire ComEd Territory,Severe Weather
2008-06-08 00:00:00,6:00 p.m.,Southwestern Michigan (DECO Service Territory),Severe Storm
2008-06-09 00:00:00,2:00 p.m.,Entergy System,Indequate Electric Resources to Serve Load
2008-06-09 00:00:00,2:52 p.m.,"Area Around West Orange Switching Station, New Jersey",Fire/Breaker Failure
2008-06-10 00:00:00,11:00 a.m.,Upstate New York,Severe Storm
2008-06-10 00:00:00,2:00 p.m.,Entergy System,Inadequate Electric Resources to Serve Load
2008-06-10 00:00:00,6:00 p.m.,"Bergen, Essex and Hudson Counties, New Jersey",Severe Storms
2008-06-10 00:00:00,7:00 p.m.,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",Severe Thunderstorms
2008-06-10 00:00:00,11:00 p.m.,All Six New England States,Storm
2008-06-11 00:00:00,1:15 p.m.,New York State,Uncontrolled Loss
2008-06-12 00:00:00,3:30 p.m.,East Central Iowa,Flooding and Uncontrolled Loss
2008-06-15 00:00:00,8:00 a.m.,The Entire ComEd Territory,Severe Weather
2008-06-15 00:00:00,7:06 p.m.,"City of Crawfordsville, Indiana",Electrical System Separation
2008-06-16 00:00:00,4:15 p.m.,Northern Virginia,Thunderstorms
2008-06-17 00:00:00,9:01 a.m.,"North, Central and East Texas",Severe Thunderstorms
2008-06-17 00:00:00,8:35 p.m.,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,Electrical System Separation/Severe Thunderstorms
2008-06-17 00:00:00,8:40 p.m.,"Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",Thunderstorms/Uncontrolled Loss of Load
2008-06-21 00:00:00,3:09 p.m.,"Near Rogers Flat, California",Electrical System Separation/Severe Lightning Storms
2008-06-22 00:00:00,4:55 p.m.,Northwest Indiana,Lightning Stirke/Uncontrolled Loss of Load
2008-06-23 00:00:00,1:44 p.m.,Northcentral Indiana,Fire/Breaker Failure
2008-06-23 00:00:00,4:52 p.m.,"Pinellas County, Florida",Transmission Equipment Failure/Load Shedding
2008-06-26 00:00:00,5:00 p.m.,Southeastern Michigan (DTE Service Territory),Thunderstorms
2008-06-27 00:00:00,4:30 p.m.,"Omaha, Nebraska (Metro Area)",Severe Wind Storm
2008-07-01 00:00:00,7:31 a.m.,"San Francisco Bay Area, California",Unit Tripped
2008-07-02 00:00:00,3:00 p.m.,Lower 2/3 of Michigan's Lower Peninsula,Severe Weather
2008-07-02 00:00:00,4:00 p.m.,Restricted Hydroelectric Capability,Fuel Supply Deficiency
2008-07-02 00:00:00,7:16 p.m.,"Santa Barbara County, California, near Goleta",Wild Land Fire
2008-07-02 00:00:00,7:36 p.m.,Goleta and Santa Barbara Areas of Southern California,Brush Fire/Lines Loss/Transmission Emergency Declared
2008-07-02 00:00:00,8:00 p.m.,Southeastern Michigan (DTE Service Territory),Thunderstorms
2008-07-07 00:00:00,12:15 p.m.,ISO Balancing Area,Heat Wave/Potential Fire Threat/Made Public Appeals
2008-07-10 00:00:00,2:22 p.m.,"San Francisco Bay Area, California",Unit Tripped
2008-07-21 00:00:00,12:49 a.m.,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois",Storm
2008-07-22 00:00:00,3:00 a.m.,Indiana,Severe Thunderstorms
2008-07-22 00:00:00,3:00 a.m.,Southwest Ohio,Severe Thunderstorms
2008-07-22 00:00:00,2:00 p.m.,Texas Panhandle and Southeastern New Mexico,Indequate Electric Resources to Serve Load/Public Appeal
2008-07-23 00:00:00,5:56 a.m.,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",Hurricane Dolly
2008-07-24 00:00:00,7:23 a.m.,"Bangor Hydro System, northern Maine",Electric System Separation/Severe Lightning Storms
2008-08-02 00:00:00,8:00 p.m.,Georgia and Alabama,Severe Thunderstorms
2008-08-03 00:00:00,1:30 a.m.,"Mississippi, Louisiana, Texas",Severe Thunderstorms
2008-08-04 00:00:00,6:00 p.m.,The ComEd Territory,Severe Weather
2008-08-05 00:00:00,3:00 a.m.,Northwest Indiana,Severe Storms
2008-08-09 00:00:00,12:00 p.m.,Texas Panhandle and Eastern New Mexico,Declared Energy Emergency Alert 1/Made Public Appeals
2008-08-15 00:00:00,12:52 p.m.,Part of Seattle's Downtown,Made Public Appeals
2008-08-16 00:00:00,5:23 a.m.,City of Lubbock,Lightning/Transmission Equipment Damage
2008-08-16 00:00:00,8:14 a.m.,Island of Puerto Rico,Shed Firm Load/Voltage Reduction
2008-08-18 00:00:00,7:22 p.m.,North Part of Island,Shed Firm Load
2008-08-19 00:00:00,9:29 a.m.,Florida,Tropical Storm Fay
2008-08-21 00:00:00,7:00 p.m.,"Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter,  Suwannee, Taylor, Volusia and Wakulla Counties in Florida",Tropical Storm Fay
2008-08-22 00:00:00,12:00 p.m.,-,Fuel Supply Emergency-Low Coal Inventory Levels
2008-08-24 00:00:00,4:30 a.m.,Georgia and Alabama,Tropical Storm Fay
2008-08-31 00:00:00,7:30 a.m.,"Plaquemine, Louisiana",Fuel Supply Curtailed
2008-08-31 00:00:00,7:00 p.m.,"Louisiana, Mississippi, Arkansas",Hurricane Gustav
2008-09-01 00:00:00,10:30 a.m.,Primarily South and Central Louisiana,Hurricane Gustav
2008-09-01 00:00:00,11:45 a.m.,"Bayou Division and North Lake Division, Louisiana",Hurricane Gustav
2008-09-06 00:00:00,7:45 a.m.,Eastern North Carolina,Tropical Storm Hanna
2008-09-06 00:00:00,2:15 p.m.,North East North Carolina and Virginia,Tropical Storm Hanna
2008-09-08 00:00:00,10:03 p.m.,A.D. Edmonston Pumping Plant,Fuel Supply Deficiency
2008-09-12 00:00:00,5:45 a.m.,"Primarily Southeast Texas, Louisiana, and Arkansas",Hurricane Ike
2008-09-12 00:00:00,6:21 p.m.,Greater Houston-Galveston Metro Area,Hurricane Ike
2008-09-12 00:00:00,6:21 p.m.,Greater Houston Area-Eastern Region of ERCOT,Hurricane Ike
2008-09-12 00:00:00,8:00 p.m.,Galveston and Brazoria Counties,Hurricane Ike
2008-09-13 00:00:00,10:24 a.m.,Southwest Louisiana,Hurricane Ike
2008-09-13 00:00:00,12:00 p.m.,"North, Central and East Texas",Hurricane Ike
2008-09-13 00:00:00,4:00 p.m.,Texas and Louisana,Hurricane Ike
2008-09-14 00:00:00,6:30 a.m.,"Ohio, Kentucky, Indiana",Tropical Depression Ike
2008-09-14 00:00:00,7:30 a.m.,Missouri and Illinois,Hurricane Ike
2008-09-14 00:00:00,10:01 a.m.,"City of Owensboro, Kentucky",High Winds
