,Unnamed: 0,Event Type,Valid Date,Valid Time,State,Cities,Counties,Dirty
763,2545,Severe Weather,5/15/2018,16:00:00,New York,,"Dutchess County, Ulster County, Orange County;",
764,2546,Severe Weather,5/15/2018,17:25:00,New Jersey,,,
765,2547,Severe Weather,5/15/2018,18:14:00,Pennsylvania,,,
766,2548,Severe Weather,5/15/2018,18:35:00,Connecticut: Massachusetts: Rhode Island:,,,
767,2550,Severe Weather,5/15/2018,17:15:00,New York,,,
768,2551,Severe Weather,5/17/2018,1:11:00,California,,Contra Costa County;,
769,2553,Severe Weather,5/26/2018,18:40:00,Texas,,Harris County;,
770,2554,Severe Weather,6/2/2018,5:00:00,"Missouri: Jackson County, Clay County, Platte County, Andrew County; Kansas: Johnson County;",,,
771,2560,Severe Weather,6/18/2018,18:20:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,,,
772,2562,Severe Weather,6/22/2018,14:38:00,Washington,,,
773,2564,Severe Weather,6/28/2018,18:36:00,Missouri: Illinois:,,,
774,2565,Severe Weather,6/28/2018,14:50:00,Alabama: Georgia:,,,
775,2566,Severe Weather,6/29/2018,7:35:00,Minnesota,,St. Louis County;,
776,2582,Severe Weather,7/20/2018,16:19:00,Kentucky,,,
777,2583,Severe Weather,7/21/2018,4:45:00,Arkansas,,,
778,2584,Severe Weather,7/21/2018,7:20:00,Georgia,,,
779,2591,Severe Weather,7/30/2018,6:30:00,Arizona,,Maricopa County;,
780,2603,Severe Weather,8/26/2018,22:00:00,Michigan,,"Muskegon County, Newaygo County, Oceana County, Mason County, Kent County, Mecosta County, Montcalm County, Isabella County, Midland County, Saginaw County;",
781,2605,Severe Weather,8/28/2018,20:00:00,Michigan,,"Benzie County, Barry County, Grand Traverse County, Kalkaska County, Mason County, Oceana County, Muskegon County, Kent County, Newaygo County, Montcalm County, Mecosta County, Antrim County, Eaton County, Ionia County, Isabella County, Clare County, Saginaw County;",
782,2607,Severe Weather,8/29/2018,0:00:00,Illinois,,,
783,2616,Severe Weather,9/13/2018,20:56:00,North Carolina: South Carolina:,,,
784,2617,Severe Weather,9/13/2018,20:30:00,North Carolina,,,
785,2619,Severe Weather,9/15/2018,1:05:00,South Carolina,,"Horry County, Chesterfield County, Dillon County, Georgetown County, Marlboro County, Darlington County;",
786,2621,Severe Weather,9/16/2018,8:00:00,North Carolina: South Carolina:,,,
787,2633,Severe Weather,10/10/2018,11:59:00,Florida: Alabama: Georgia:,,,
788,2634,Severe Weather,10/10/2018,16:00:00,Florida,,,
789,2636,Severe Weather,10/10/2018,14:00:00,Florida,,,
790,2638,Severe Weather,10/11/2018,16:42:00,North Carolina: South Carolina:,,,
791,2639,Severe Weather,10/11/2018,18:55:00,North Carolina,,,
792,2640,Severe Weather,10/11/2018,13:15:00,North Carolina: South Carolina:,,,
793,2641,Severe Weather,10/11/2018,7:21:00,South Carolina,,,
794,2644,Severe Weather,10/16/2018,4:15:00,Connecticut: Rhode Island: Massachusetts: Vermont: New Hampshire: Maine:,,,
795,2645,Severe Weather,10/21/2018,0:16:00,West Virginia,,,
796,2651,Severe Weather,10/31/2018,19:30:00,Texas,,Harris County;,
797,2654,Severe Weather,11/3/2018,17:20:00,Connecticut: Massachusetts: New Hampshire: Vermont: Maine: Rhode Island:,,,
798,2655,Severe Weather,11/6/2018,9:49:00,Tennessee,,,
799,2661,Severe Weather,11/15/2018,10:50:00,Virginia: West Virginia:,,,
800,2662,Severe Weather,11/15/2018,3:23:00,Kentucky,,,
801,2663,Severe Weather,11/15/2018,5:28:00,Indiana,,,
802,2664,Severe Weather,11/15/2018,5:38:00,Kentucky: Ohio:,,,
803,2666,Severe Weather,11/25/2018,22:30:00,Illinois,,"Will County, DuPage County, Kane County, McHenry County, Winnebago County, Ogle County, DeKalb County, Lee County, Grundy County, Lake County, Cook County, Livingston County, Stephenson County, LaSalle County, Kankakee County, Kendall County, Boone County;",
804,2667,Severe Weather,11/27/2018,8:00:00,Maine: New Hampshire: Vermont:,,,
805,2677,Severe Weather,12/9/2018,8:41:00,North Carolina,,,
806,2678,Severe Weather,12/9/2018,0:23:00,Alabama: Georgia:,,,
809,2683,Severe Weather,12/14/2018,16:00:00,Washington,,"King County, Kitsap County, Island County, Pierce County, Thurston County, Whatcom County, Skagit County, Kittitas County;",
810,2684,Severe Weather,12/14/2018,18:00:00,Washington,,Snohomish County;,
812,2687,Severe Weather,12/20/2018,9:30:00,Washington,,"Skagit County, Snohomish County, King County, Kitsap County, Island County;",
815,2694,Severe Weather,1/6/2019,3:00:00,Washington,,,
816,2695,Severe Weather,1/6/2019,17:56:00,California,,Sacramento County;,
817,2696,Severe Weather,1/6/2019,1:00:00,Washington,,"King County, Thurston County, Pierce County;",
818,2701,Severe Weather,1/12/2019,11:30:00,Missouri: Jackson County; Kansas: Johnson County;,,,
819,2702,Severe Weather,1/12/2019,11:30:00,Missouri: Nebraska:,,,
820,2704,Severe Weather,1/13/2019,5:30:00,North Carolina: South Carolina:,,,
822,2707,Severe Weather,1/16/2019,17:26:00,California,,,
824,2716,Severe Weather,1/30/2019,9:30:00,Michigan,,,
825,2717,Severe Weather,1/30/2019,7:00:00,Illinois,,Pike County;,
829,2722,Severe Weather,2/5/2019,18:17:00,California,,,
830,2724,Severe Weather,2/7/2019,8:55:00,Michigan,,,
832,2726,Severe Weather,2/8/2019,18:30:00,Washington,,,
833,2727,Severe Weather,2/13/2019,2:48:00,California,,,
837,2733,Severe Weather,2/24/2019,18:00:00,Pennsylvania,,,
838,2734,Severe Weather,2/24/2019,11:21:00,"Ohio, Virginia, West Virginia",,,
839,2735,Severe Weather,2/24/2019,18:47:00,Pennsylvania,,,
840,2736,Severe Weather,2/24/2019,12:31:00,Ohio,,,
841,2737,Severe Weather,2/24/2019,14:33:00,Pennsylvania,,,
842,2738,Severe Weather,2/24/2019,20:02:00,Michigan,,,
843,2740,Severe Weather,2/25/2019,13:35:00,"Connecticut, Massachusetts, New Hampshire, Maine, Vermont, Rhode Island",,,
845,2747,Severe Weather,3/13/2019,11:29:00,Colorado,,Jefferson County;,
846,2748,Severe Weather,3/13/2019,5:50:00,Texas,,"Midland County, Ector County, Tarrant County, Dallas County, Wichita County, Brown County;",
852,2762,Severe Weather,4/7/2019,13:46:00,Texas,,,
853,2766,Severe Weather,4/13/2019,18:15:00,Mississippi: Arkansas: Texas: Louisiana:,,,
854,2767,Severe Weather,4/15/2019,4:35:00,Virginia,,,
857,2772,Severe Weather,4/18/2019,19:55:00,Alabama: Mississippi: Georgia: Florida:,,,
859,2776,Severe Weather,4/26/2019,17:46:00,North Carolina: South Carolina:,,,
861,2784,Severe Weather,5/9/2019,17:55:00,Texas,,Harris County;,
