,0
36,"(0.3647479022542635, 'Hurricane Isabel', [(0.5666666666666667, 'Tropical Storm'), (0.26666666666666666, 'High Wind'), (0.16666666666666666, 'Heavy Rain')])"
37,"(0.5007828507158488, 'Hurricane Isabel', [(0.37962962962962926, 'Tropical Storm'), (0.23148148148148134, 'Hurricane (typhoon)'), (0.16666666666666663, 'High Wind'), (0.14814814814814814, 'Flash Flood'), (0.06481481481481481, 'Flood'), (0.009259259259259259, 'Tornado')])"
38,"(0.7376242315067965, 'Hurricane Isabel', [(0.6764705882352942, 'Hurricane (typhoon)'), (0.17647058823529413, 'Tropical Storm'), (0.14705882352941177, 'Flash Flood')])"
39,"(0.3647479022542635, 'Hurricane Isabel', [(0.5666666666666667, 'Tropical Storm'), (0.26666666666666666, 'High Wind'), (0.16666666666666666, 'Heavy Rain')])"
40,"(0.45252698063850405, 'Wild Fire', [(0.8, 'Wildfire'), (0.2, 'High Wind')])"
41,"(0.5778661668300629, 'Tornado', [(0.4444444444444444, 'Thunderstorm Wind'), (0.2222222222222222, 'Tornado'), (0.1111111111111111, 'Lightning'), (0.1111111111111111, 'Flash Flood'), (0.1111111111111111, 'Dense Fog')])"
42,"(0.6038491981370109, 'Tornado', [(0.42857142857142855, 'Flash Flood'), (0.2857142857142857, 'Tornado'), (0.2857142857142857, 'Thunderstorm Wind')])"
43,"(0.7567283511161806, 'High Winds', [(1.0000000000000002, 'High Wind')])"
44,"(0.697239386290312, 'Storm with High Winds', [(0.7500000000000003, 'High Wind'), (0.175, 'Winter Storm'), (0.025, 'Tornado'), (0.025, 'Thunderstorm Wind'), (0.025, 'Hail')])"
45,"(0.7096268109977247, 'Wind Storm', [(0.7500000000000003, 'High Wind'), (0.175, 'Winter Storm'), (0.025, 'Tornado'), (0.025, 'Thunderstorm Wind'), (0.025, 'Hail')])"
46,"(0.5740284293890001, 'High Winds', [(0.8500000000000002, 'Strong Wind'), (0.15000000000000002, 'High Wind')])"
47,"(0.7490886522502436, 'Wind Storm', [(0.5609756097560977, 'Strong Wind'), (0.43902439024390255, 'High Wind')])"
48,"(0.7148363908131908, 'Storm with High Winds', [(0.9333333333333321, 'High Wind'), (0.05333333333333334, 'Heavy Snow'), (0.013333333333333334, 'Winter Storm')])"
49,"(0, '', [])"
50,"(0, '', [])"
51,"(0.494253933429718, 'Winter Storm', [(1.0, 'Heavy Snow')])"
52,"(0.5089297100253727, 'Winter Storm', [(0.4782608695652173, 'Heavy Snow'), (0.17391304347826086, 'High Wind'), (0.13043478260869565, 'Strong Wind'), (0.08695652173913043, 'Winter Storm'), (0.08695652173913043, 'Flash Flood'), (0.043478260869565216, 'Blizzard')])"
53,"(0.818576064220695, 'Ice Storm', [(0.906976744186047, 'Winter Storm'), (0.09302325581395349, 'Ice Storm')])"
54,"(0.9999999999999996, 'Ice Storm', [(0.9999999999999996, 'Ice Storm')])"
55,"(0.9999999999999996, 'Ice Storm', [(0.9999999999999996, 'Ice Storm')])"
56,"(0.8635917683442433, 'Ice Storm', [(0.7333333333333333, 'Ice Storm'), (0.2, 'Thunderstorm Wind'), (0.06666666666666667, 'Lightning')])"
57,"(0.41360199451446533, 'Ice Storm', [(1.0, 'Strong Wind')])"
58,"(0.9438743889331818, 'Ice Storm', [(0.8333333333333334, 'Ice Storm'), (0.08333333333333333, 'Winter Weather'), (0.08333333333333333, 'Winter Storm')])"
59,"(0.5798756224768501, 'Ice Storm', [(0.8571428571428569, 'Winter Weather'), (0.07142857142857142, 'Winter Storm'), (0.07142857142857142, 'Ice Storm')])"
60,"(0.7976369261741637, 'Ice Storm', [(0.46153846153846145, 'Ice Storm'), (0.34615384615384615, 'Winter Weather'), (0.19230769230769232, 'Winter Storm')])"
61,"(0.36292927563190464, 'Lightning struck Intertie Breaker ', [(0.7, 'High Wind'), (0.1, 'Winter Storm'), (0.1, 'Thunderstorm Wind'), (0.1, 'Flash Flood')])"
62,"(0.5250826783478261, 'Winter Storm', [(0.27499999999999997, 'High Wind'), (0.175, 'Heavy Snow'), (0.15, 'Strong Wind'), (0.1, 'Winter Storm'), (0.1, 'Flash Flood'), (0.07500000000000001, 'Storm Surge/tide'), (0.05, 'Heavy Rain'), (0.05, 'Flood'), (0.025, 'Thunderstorm Wind')])"
63,"(0.6818861882202327, 'Severe Storm', [(0.84375, 'Winter Storm'), (0.078125, 'Winter Weather'), (0.03125, 'Thunderstorm Wind'), (0.03125, 'Hail'), (0.015625, 'Heavy Snow')])"
64,"(0.5650122756867314, 'High Winds - Severe Storm', [(0.6467391304347841, 'Thunderstorm Wind'), (0.19021739130434773, 'Hail'), (0.1413043478260869, 'Tornado'), (0.010869565217391304, 'Flash Flood'), (0.005434782608695652, 'Lightning'), (0.005434782608695652, 'High Wind')])"
65,"(0.39007078159239966, 'Severe Storm', [(0.8817204301075263, 'High Wind'), (0.10752688172043014, 'Thunderstorm Wind'), (0.010752688172043012, 'Hail')])"
66,"(0.3762924075126647, 'Severe Storm', [(0.9999999999999997, 'High Wind')])"
67,"(0.3253264643558086, 'Thunderstorms', [(0.6438356164383567, 'Hail'), (0.1643835616438356, 'Flash Flood'), (0.1506849315068493, 'Thunderstorm Wind'), (0.0273972602739726, 'Funnel Cloud'), (0.0136986301369863, 'Tornado')])"
68,"(0.5730517664376428, 'Storm with High Winds', [(0.411764705882353, 'Thunderstorm Wind'), (0.23529411764705882, 'Strong Wind'), (0.11764705882352941, 'Tornado'), (0.11764705882352941, 'Lightning'), (0.058823529411764705, 'High Wind'), (0.058823529411764705, 'Hail')])"
69,"(0.5703738116555744, 'Strong Winds', [(0.6111111111111113, 'High Wind'), (0.2222222222222222, 'Strong Wind'), (0.1111111111111111, 'Dust Storm'), (0.05555555555555555, 'Tornado')])"
70,"(0.3224688172340393, 'Heat Storm', [(1.0, 'Wildfire')])"
71,"(0.37840118010838836, 'Strong Thunderstorms', [(0.3333333333333334, 'Hail'), (0.27777777777777785, 'Thunderstorm Wind'), (0.16666666666666669, 'Flash Flood'), (0.1111111111111111, 'Tornado'), (0.1111111111111111, 'Funnel Cloud')])"
72,"(0.42861696005913297, 'Severe Thunderstorms', [(0.49122807017543935, 'Thunderstorm Wind'), (0.3070175438596493, 'Hail'), (0.14912280701754385, 'Flood'), (0.05263157894736842, 'Flash Flood')])"
73,"(0.42861696005913297, 'Severe Thunderstorms', [(0.49122807017543935, 'Thunderstorm Wind'), (0.3070175438596493, 'Hail'), (0.14912280701754385, 'Flood'), (0.05263157894736842, 'Flash Flood')])"
74,"(0.5672340565002885, 'High Winds and Heavy Rains', [(0.8846153846153852, 'Thunderstorm Wind'), (0.09615384615384616, 'Hail'), (0.019230769230769232, 'Tornado')])"
75,"(0.5284746213162199, 'High Winds and Heavy Rains', [(0.7659574468085107, 'Thunderstorm Wind'), (0.1276595744680851, 'Flash Flood'), (0.06382978723404255, 'Hail'), (0.0425531914893617, 'Flood')])"
76,"(0.503426377971967, 'High Winds and Heavy Rains', [(0.6666666666666666, 'Thunderstorm Wind'), (0.16666666666666666, 'Lightning'), (0.16666666666666666, 'Hail')])"
77,"(0.4977501392364502, 'High Winds and Heavy Rains', [(0.6, 'Thunderstorm Wind'), (0.39999999999999997, 'Hail')])"
78,"(0.42792396495739576, 'Severe Thunderstorms', [(0.49358974358974284, 'Thunderstorm Wind'), (0.28846153846153844, 'Hail'), (0.13461538461538466, 'Flash Flood'), (0.07692307692307693, 'Flood'), (0.00641025641025641, 'Tornado')])"
79,"(0.42792396495739576, 'Severe Thunderstorms', [(0.49358974358974284, 'Thunderstorm Wind'), (0.28846153846153844, 'Hail'), (0.13461538461538466, 'Flash Flood'), (0.07692307692307693, 'Flood'), (0.00641025641025641, 'Tornado')])"
80,"(0.4878997763777083, 'Severe Storms with Strong Winds', [(0.4901960784313718, 'Thunderstorm Wind'), (0.470588235294117, 'Hail'), (0.0196078431372549, 'Lightning'), (0.013071895424836602, 'Tornado'), (0.006535947712418301, 'Flash Flood')])"
81,"(0.5349440934329198, 'Severe Thunderstorms with Strong Winds', [(0.6149425287356326, 'Thunderstorm Wind'), (0.38505747126436746, 'Hail')])"
82,"(0.5954884722044597, 'Severe  Thunderstorms with Strong Winds', [(0.8421052631578954, 'Thunderstorm Wind'), (0.10526315789473684, 'Hail'), (0.039473684210526314, 'Flash Flood'), (0.013157894736842105, 'Lightning')])"
83,"(0.350332026128416, 'Tornado', [(0.7654320987654333, 'Hail'), (0.1728395061728395, 'Thunderstorm Wind'), (0.04938271604938271, 'Flash Flood'), (0.012345679012345678, 'Tornado')])"
84,"(0.43887861569722486, 'Thunderstorms', [(0.6666666666666666, 'Thunderstorm Wind'), (0.3333333333333333, 'Lightning')])"
85,"(0.5065143108367918, 'Thunderstorms', [(0.9999999999999996, 'Thunderstorm Wind')])"
86,"(0.49620048845967907, 'Severe Thunderstorms', [(0.8064516129032253, 'Thunderstorm Wind'), (0.16129032258064516, 'Hail'), (0.03225806451612903, 'Lightning')])"
87,"(0.5073743902501598, 'Severe Thunderstorms', [(0.8571428571428559, 'Thunderstorm Wind'), (0.1111111111111111, 'Hail'), (0.015873015873015872, 'Lightning'), (0.015873015873015872, 'High Wind')])"
88,"(0.4757436428751265, 'Severe Thunderstorms', [(0.7142857142857144, 'Thunderstorm Wind'), (0.2857142857142857, 'Hail')])"
89,"(0.4332266073477896, 'Severe Storms', [(0.631578947368421, 'Thunderstorm Wind'), (0.2631578947368421, 'Hail'), (0.10526315789473684, 'Flash Flood')])"
90,"(0.42290764588576096, 'Severe Storms', [(0.46153846153846156, 'Thunderstorm Wind'), (0.38461538461538464, 'Lightning'), (0.07692307692307693, 'Heavy Rain'), (0.07692307692307693, 'Flash Flood')])"
91,"(0.5120453834533691, 'Severe Storm', [(1.0, 'Thunderstorm Wind')])"
92,"(0.4851805833370788, 'Hurricane Charley', [(0.28260869565217384, 'Tornado'), (0.23913043478260865, 'Hurricane (typhoon)'), (0.15217391304347827, 'Thunderstorm Wind'), (0.13043478260869565, 'High Wind'), (0.08695652173913043, 'Heavy Rain'), (0.043478260869565216, 'Tropical Storm'), (0.043478260869565216, 'Funnel Cloud'), (0.021739130434782608, 'Storm Surge/tide')])"
93,"(0.4851805833370788, 'Hurricane Charley', [(0.28260869565217384, 'Tornado'), (0.23913043478260865, 'Hurricane (typhoon)'), (0.15217391304347827, 'Thunderstorm Wind'), (0.13043478260869565, 'High Wind'), (0.08695652173913043, 'Heavy Rain'), (0.043478260869565216, 'Tropical Storm'), (0.043478260869565216, 'Funnel Cloud'), (0.021739130434782608, 'Storm Surge/tide')])"
94,"(0.4851805833370788, 'Hurricane Charley', [(0.28260869565217384, 'Tornado'), (0.23913043478260865, 'Hurricane (typhoon)'), (0.15217391304347827, 'Thunderstorm Wind'), (0.13043478260869565, 'High Wind'), (0.08695652173913043, 'Heavy Rain'), (0.043478260869565216, 'Tropical Storm'), (0.043478260869565216, 'Funnel Cloud'), (0.021739130434782608, 'Storm Surge/tide')])"
95,"(0.4851805833370788, 'Hurricane Charley', [(0.28260869565217384, 'Tornado'), (0.23913043478260865, 'Hurricane (typhoon)'), (0.15217391304347827, 'Thunderstorm Wind'), (0.13043478260869565, 'High Wind'), (0.08695652173913043, 'Heavy Rain'), (0.043478260869565216, 'Tropical Storm'), (0.043478260869565216, 'Funnel Cloud'), (0.021739130434782608, 'Storm Surge/tide')])"
96,"(0.4851805833370788, 'Hurricane Charley', [(0.28260869565217384, 'Tornado'), (0.23913043478260865, 'Hurricane (typhoon)'), (0.15217391304347827, 'Thunderstorm Wind'), (0.13043478260869565, 'High Wind'), (0.08695652173913043, 'Heavy Rain'), (0.043478260869565216, 'Tropical Storm'), (0.043478260869565216, 'Funnel Cloud'), (0.021739130434782608, 'Storm Surge/tide')])"
97,"(0.6873942025005818, 'Hurricane Charley', [(0.5500000000000002, 'Hurricane (typhoon)'), (0.175, 'Flash Flood'), (0.15, 'Tropical Storm'), (0.125, 'Tornado')])"
98,"(0.7004472655909402, 'Hurricane Charley', [(0.5714285714285714, 'Hurricane (typhoon)'), (0.2857142857142857, 'Tornado'), (0.14285714285714285, 'Flash Flood')])"
99,"(0.6957770922909611, 'Tropical Storm Gaston', [(0.652173913043478, 'Tropical Storm'), (0.30434782608695654, 'Flash Flood'), (0.043478260869565216, 'Tornado')])"
100,"(0.5066992839177449, 'Tropical Storm Gaston', [(0.6666666666666666, 'Flash Flood'), (0.3333333333333333, 'Tropical Storm')])"
