,0
147,"(0.36871708171409484, 'Strong Thunderstorms', [(0.6140350877192986, 'Hail'), (0.21052631578947367, 'Thunderstorm Wind'), (0.10526315789473684, 'Flash Flood'), (0.03508771929824561, 'Lightning'), (0.017543859649122806, 'Tornado'), (0.017543859649122806, 'Funnel Cloud')])"
148,"(0.6488481278602881, 'Strong Thunderstorm', [(0.6846153846153831, 'Thunderstorm Wind'), (0.2769230769230768, 'Hail'), (0.023076923076923078, 'Lightning'), (0.015384615384615385, 'Tornado')])"
149,"(0.5126074820756903, 'Strong Thunderstorm/High Winds', [(0.6846153846153831, 'Thunderstorm Wind'), (0.2769230769230768, 'Hail'), (0.023076923076923078, 'Lightning'), (0.015384615384615385, 'Tornado')])"
150,"(0.5909325764097025, 'Strong Thunderstorm', [(0.5448275862068973, 'Thunderstorm Wind'), (0.337931034482759, 'Hail'), (0.05517241379310345, 'Lightning'), (0.041379310344827586, 'Flash Flood'), (0.013793103448275862, 'Tornado'), (0.006896551724137931, 'Heat')])"
151,"(0.5937100599209467, 'Strong Thunderstorm', [(0.6666666666666666, 'Thunderstorm Wind'), (0.3333333333333333, 'Funnel Cloud')])"
152,"(0.49188310975459115, 'Strong Thunderstorms', [(0.8059701492537319, 'Thunderstorm Wind'), (0.16417910447761191, 'Hail'), (0.029850746268656716, 'Lightning')])"
153,"(0.6636723318231206, 'Strong Thunderstorm', [(0.7247706422018336, 'Thunderstorm Wind'), (0.23853211009174313, 'Hail'), (0.01834862385321101, 'Lightning'), (0.009174311926605505, 'Flood'), (0.009174311926605505, 'Flash Flood')])"
154,"(0.38052391409873965, 'Strong Thunderstorm/High Winds', [(0.6000000000000001, 'Hail'), (0.2, 'Tornado'), (0.2, 'Thunderstorm Wind')])"
155,"(0.4435126787194838, 'Tropical Storm Cindy', [(0.6538461538461536, 'Hurricane (typhoon)'), (0.2692307692307693, 'Storm Surge/tide'), (0.038461538461538464, 'Thunderstorm Wind'), (0.038461538461538464, 'Hail')])"
156,"(0.42820258600166045, 'Hurricane Dennis', [(0.6024096385542169, 'Tropical Storm'), (0.34939759036144574, 'Flash Flood'), (0.03614457831325302, 'Hurricane (typhoon)'), (0.012048192771084338, 'Funnel Cloud')])"
157,"(0.6680071516127526, 'Hurricane Dennis', [(0.6139240506329113, 'Hurricane (typhoon)'), (0.3544303797468353, 'Strong Wind'), (0.012658227848101266, 'Thunderstorm Wind'), (0.012658227848101266, 'Flash Flood'), (0.006329113924050633, 'Flood')])"
158,"(0.8431763067841531, 'Hurricane Dennis', [(0.8500000000000002, 'Hurricane (typhoon)'), (0.15000000000000002, 'Tropical Storm')])"
159,"(0.4910120666027068, 'Hurricane Dennis', [(0.607142857142857, 'Storm Surge/tide'), (0.21428571428571425, 'Hurricane (typhoon)'), (0.14285714285714285, 'Flash Flood'), (0.03571428571428571, 'Tornado')])"
160,"(0.42820258600166045, 'Hurricane Dennis', [(0.6024096385542169, 'Tropical Storm'), (0.34939759036144574, 'Flash Flood'), (0.03614457831325302, 'Hurricane (typhoon)'), (0.012048192771084338, 'Funnel Cloud')])"
161,"(0.4910120666027068, 'Hurricane Dennis', [(0.607142857142857, 'Storm Surge/tide'), (0.21428571428571425, 'Hurricane (typhoon)'), (0.14285714285714285, 'Flash Flood'), (0.03571428571428571, 'Tornado')])"
162,"(0.5383251309394836, 'Severe Thunderstorms', [(1.0, 'Thunderstorm Wind')])"
163,"(0.4850147042585454, 'Severe Thunderstorms', [(0.7391304347826084, 'Thunderstorm Wind'), (0.17391304347826086, 'Lightning'), (0.043478260869565216, 'Strong Wind'), (0.043478260869565216, 'Hail')])"
164,"(0.6450230906838954, 'Severe Thunderstorm', [(0.7391304347826084, 'Thunderstorm Wind'), (0.17391304347826086, 'Lightning'), (0.043478260869565216, 'Strong Wind'), (0.043478260869565216, 'Hail')])"
165,"(0.5287484093145889, 'Severe Thunderstorms', [(0.9545454545454543, 'Thunderstorm Wind'), (0.045454545454545456, 'Lightning')])"
166,"(0.5383251309394836, 'Severe Thunderstorms', [(1.0, 'Thunderstorm Wind')])"
167,"(0.6629247177730908, 'Hurricane Katrina', [(0.5454545454545455, 'Hurricane (typhoon)'), (0.45454545454545464, 'Storm Surge/tide')])"
168,"(0.41453208137249575, 'Hurricane Katrina ', [(0.7246376811594197, 'Tropical Storm'), (0.15942028985507248, 'Flash Flood'), (0.11594202898550723, 'Tornado')])"
169,"(0.6280147217746296, 'Hurricane Katrina ', [(0.46428571428571475, 'Hurricane (typhoon)'), (0.23214285714285707, 'Flash Flood'), (0.16071428571428567, 'Tropical Storm'), (0.11607142857142853, 'Tornado'), (0.026785714285714284, 'Storm Surge/tide')])"
170,"(0.3546255848237447, 'Hurricane Katrina ', [(0.2857142857142857, 'Tornado'), (0.21428571428571427, 'Storm Surge/tide'), (0.21428571428571427, 'Flash Flood'), (0.14285714285714285, 'Lightning'), (0.07142857142857142, 'Thunderstorm Wind'), (0.07142857142857142, 'Funnel Cloud')])"
171,"(0.6629247177730908, 'Hurricane Katrina', [(0.5454545454545455, 'Hurricane (typhoon)'), (0.45454545454545464, 'Storm Surge/tide')])"
172,"(0.22159243587936675, 'Hurricane Katrina  disrupted normal gas allotment through natural gas pipelines (FGT & Gulf stream). Public appeals for conservation were issued.', [(0.2857142857142857, 'Tornado'), (0.21428571428571427, 'Storm Surge/tide'), (0.21428571428571427, 'Flash Flood'), (0.14285714285714285, 'Lightning'), (0.07142857142857142, 'Thunderstorm Wind'), (0.07142857142857142, 'Funnel Cloud')])"
173,"(0.330919662208268, 'Hurricane Katrina', [(0.48484848484848464, 'Tropical Storm'), (0.33333333333333326, 'Strong Wind'), (0.12121212121212122, 'Flash Flood'), (0.06060606060606061, 'Thunderstorm Wind')])"
174,"(0.41453208137249575, 'Hurricane Katrina', [(0.7246376811594197, 'Tropical Storm'), (0.15942028985507248, 'Flash Flood'), (0.11594202898550723, 'Tornado')])"
175,"(0.6280147217746296, 'Hurricane Katrina', [(0.46428571428571475, 'Hurricane (typhoon)'), (0.23214285714285707, 'Flash Flood'), (0.16071428571428567, 'Tropical Storm'), (0.11607142857142853, 'Tornado'), (0.026785714285714284, 'Storm Surge/tide')])"
176,"(0, '', [])"
177,"(0.4983919266658488, 'Severe Storm', [(0.8860759493670877, 'Thunderstorm Wind'), (0.05063291139240506, 'Hail'), (0.02531645569620253, 'Tornado'), (0.02531645569620253, 'Flash Flood'), (0.012658227848101266, 'Lightning')])"
178,"(0.8822798728942871, 'Hurricane Ophelia', [(1.0, 'Hurricane (typhoon)')])"
179,"(0.13039470053254026, 'High Winds/Tornados', [(0.6666666666666663, 'Hail'), (0.16666666666666669, 'Thunderstorm Wind'), (0.05128205128205128, 'Tornado'), (0.05128205128205128, 'Flash Flood'), (0.038461538461538464, 'Funnel Cloud'), (0.02564102564102564, 'Lightning')])"
180,"(0.5224035518510002, 'Severe Thunderstorm', [(0.42857142857142866, 'Thunderstorm Wind'), (0.28571428571428575, 'Hail'), (0.2285714285714286, 'Lightning'), (0.05714285714285714, 'Flash Flood')])"
181,"(0, '', [])"
182,"(0.5418353323209085, 'Hurricane Rita', [(0.4406779661016951, 'Tropical Storm'), (0.28813559322033905, 'Hurricane (typhoon)'), (0.27118644067796616, 'Storm Surge/tide')])"
183,"(0.8985942602157593, 'Hurricane Rita', [(1.0, 'Hurricane (typhoon)')])"
184,"(0.8985942602157593, 'Hurricane Rita', [(1.0, 'Hurricane (typhoon)')])"
185,"(0, '', [])"
186,"(0.5418353323209085, 'Hurricane Rita', [(0.4406779661016951, 'Tropical Storm'), (0.28813559322033905, 'Hurricane (typhoon)'), (0.27118644067796616, 'Storm Surge/tide')])"
187,"(0, '', [])"
188,"(0.5296519824436732, 'Hurricane Rita', [(0.4285714285714285, 'Tropical Storm'), (0.2857142857142857, 'Hurricane (typhoon)'), (0.2857142857142857, 'Flash Flood')])"
189,"(0.6993460853894552, 'Hurricane Rita', [(0.6111111111111113, 'Hurricane (typhoon)'), (0.19444444444444448, 'Thunderstorm Wind'), (0.16666666666666669, 'Tornado'), (0.027777777777777776, 'Flash Flood')])"
190,"(0.4503578841686249, 'Hurricane Wilma', [(0.49999999999999994, 'Heavy Rain'), (0.25, 'Tornado'), (0.25, 'Hurricane (typhoon)')])"
191,"(0.4593423927246138, 'Hurricane Wilma', [(0.3953488372093022, 'Tropical Storm'), (0.16279069767441862, 'Storm Surge/tide'), (0.16279069767441862, 'High Wind'), (0.11627906976744186, 'Tornado'), (0.11627906976744186, 'Hurricane (typhoon)'), (0.046511627906976744, 'Flash Flood')])"
192,"(0, '', [])"
193,"(0, '', [])"
194,"(0, '', [])"
195,"(0.4593423927246138, 'Hurricane Wilma ', [(0.3953488372093022, 'Tropical Storm'), (0.16279069767441862, 'Storm Surge/tide'), (0.16279069767441862, 'High Wind'), (0.11627906976744186, 'Tornado'), (0.11627906976744186, 'Hurricane (typhoon)'), (0.046511627906976744, 'Flash Flood')])"
196,"(0.4433162177310271, 'Severe Thunderstorm', [(0.8823529411764707, 'High Wind'), (0.11764705882352941, 'Thunderstorm Wind')])"
197,"(0, '', [])"
198,"(0, '', [])"
199,"(0.7477543793973468, 'Ice Storm', [(0.49206349206349204, 'Winter Weather'), (0.4444444444444444, 'Ice Storm'), (0.047619047619047616, 'Winter Storm'), (0.015873015873015872, 'Flood')])"
200,"(0.9112232849001884, 'Ice Storm', [(0.8125, 'Ice Storm'), (0.1875, 'Winter Weather')])"
201,"(0.3914688672338213, 'Severe Storms', [(0.42857142857142866, 'Flood'), (0.2285714285714286, 'High Wind'), (0.14285714285714285, 'Strong Wind'), (0.08571428571428572, 'Debris Flow'), (0.05714285714285714, 'Storm Surge/tide'), (0.02857142857142857, 'Winter Storm'), (0.02857142857142857, 'Coastal Flood')])"
202,"(0.5933723258120672, 'High Winds', [(0.3571428571428571, 'Strong Wind'), (0.3571428571428571, 'High Wind'), (0.14285714285714285, 'Thunderstorm Wind'), (0.07142857142857142, 'Winter Weather'), (0.07142857142857142, 'Lightning')])"
203,"(0.3808810557088542, 'Severe Storm', [(0.9354838709677413, 'High Wind'), (0.06451612903225806, 'Flood')])"
204,"(0.37220832109451296, 'Strong Winds', [(0.6000000000000001, 'Coastal Flood'), (0.4, 'High Wind')])"
205,"(0.40751206278800967, 'Severe Windstorm', [(0.6000000000000001, 'Coastal Flood'), (0.4, 'High Wind')])"
206,"(0.682594358921051, 'Major Snow Storm', [(1.0, 'Heavy Snow')])"
207,"(0.742694169282913, 'Severe Snow Storm', [(0.4999999999999999, 'Winter Storm'), (0.4999999999999999, 'Heavy Snow')])"
208,"(0.6642225903013476, 'Winter Snow/Ice Storm', [(0.4130434782608694, 'Winter Storm'), (0.21739130434782605, 'Coastal Flood'), (0.13043478260869565, 'Strong Wind'), (0.13043478260869565, 'Heavy Snow'), (0.08695652173913043, 'High Surf'), (0.021739130434782608, 'High Wind')])"
209,"(0, '', [])"
210,"(0.6762334018945695, 'Severe Thunderstorm/ Snow/Ice Storm', [(0.6000000000000002, 'Winter Storm'), (0.27999999999999997, 'Ice Storm'), (0.06, 'Thunderstorm Wind'), (0.04, 'Heavy Snow'), (0.02, 'Hail')])"
212,"(0.4735935797293981, 'Severe Winter Storm', [(0.5666666666666667, 'High Wind'), (0.16666666666666666, 'Strong Wind'), (0.06666666666666667, 'Winter Storm'), (0.06666666666666667, 'Heavy Rain'), (0.06666666666666667, 'Coastal Flood'), (0.03333333333333333, 'Winter Weather'), (0.03333333333333333, 'Heavy Snow')])"
217,"(0.13153660498997738, 'Major Storms/Tornadoes', [(0.7647058823529407, 'Thunderstorm Wind'), (0.17647058823529416, 'Hail'), (0.03529411764705882, 'Tornado'), (0.011764705882352941, 'Lightning'), (0.011764705882352941, 'Funnel Cloud')])"
221,"(0.267497718334198, 'Lightning Strike', [(1.0, 'Flood')])"
226,"(0.39699323610825976, 'Severe Thunderstorms', [(0.36363636363636365, 'Thunderstorm Wind'), (0.36363636363636365, 'Flash Flood'), (0.18181818181818182, 'Lightning'), (0.09090909090909091, 'Hail')])"
227,"(0.5742030213860907, 'Severe Thunderstorm', [(0.5647058823529414, 'Thunderstorm Wind'), (0.36470588235294144, 'Hail'), (0.058823529411764705, 'Lightning'), (0.011764705882352941, 'Flash Flood')])"
228,"(0.46472753923047655, 'Severe Thunderstorms', [(0.636363636363636, 'Thunderstorm Wind'), (0.2613636363636363, 'Hail'), (0.05681818181818182, 'Flash Flood'), (0.022727272727272728, 'Lightning'), (0.022727272727272728, 'Heavy Rain')])"
229,"(0.444378872175474, 'Severe Thunderstorms', [(0.54054054054054, 'Thunderstorm Wind'), (0.2567567567567565, 'Hail'), (0.08783783783783784, 'Flash Flood'), (0.06756756756756757, 'Tornado'), (0.04054054054054054, 'Flood'), (0.006756756756756757, 'Lightning')])"
230,"(0.5226797589233942, 'Severe Thunderstorms', [(0.9285714285714283, 'Thunderstorm Wind'), (0.07142857142857142, 'Hail')])"
231,"(0.5036993110389045, 'Severe Thunderstorms', [(0.8421052631578958, 'Thunderstorm Wind'), (0.08771929824561403, 'Hail'), (0.03508771929824561, 'Lightning'), (0.03508771929824561, 'Flash Flood')])"
232,"(0.49199723145541024, 'Severe Lightning Storms', [(0.6470588235294118, 'Thunderstorm Wind'), (0.23529411764705882, 'Hail'), (0.058823529411764705, 'Heavy Rain'), (0.058823529411764705, 'Flash Flood')])"
234,"(0.5042931626240414, 'Severe Lightning Storms', [(0.6833333333333338, 'Thunderstorm Wind'), (0.2333333333333333, 'Heat'), (0.06666666666666667, 'Hail'), (0.016666666666666666, 'Lightning')])"
235,"(0.39147791692188805, 'Severe Lightning Storms', [(0.5535714285714285, 'Hail'), (0.32142857142857134, 'Thunderstorm Wind'), (0.10714285714285712, 'Heat'), (0.017857142857142856, 'Funnel Cloud')])"
236,"(0.5609434843063354, 'Severe Lightning Storms', [(1.0, 'Thunderstorm Wind')])"
237,"(0.30269771069288254, 'Lightning Storms/Tripped Lines', [(0.5625, 'Thunderstorm Wind'), (0.375, 'Hail'), (0.0625, 'Flash Flood')])"
238,"(0.33773531424610514, 'Severe Storms (3) (Many customers experienced multiple outages.)', [(0.6521739130434786, 'Thunderstorm Wind'), (0.1739130434782608, 'Heat'), (0.14130434782608692, 'Hail'), (0.021739130434782608, 'Tornado'), (0.010869565217391304, 'Heavy Rain')])"
239,"(0.3513040270428271, 'Severe Storms (3) (Many customers experienced multiple outages.)', [(0.7653061224489802, 'Thunderstorm Wind'), (0.12244897959183672, 'Hail'), (0.11224489795918366, 'Heat')])"
240,"(0.47565915232354944, 'Widespread Heat Wave/Public Appeals Made', [(0.7272727272727272, 'Heat'), (0.18181818181818182, 'Wildfire'), (0.045454545454545456, 'Thunderstorm Wind'), (0.045454545454545456, 'Flash Flood')])"
241,"(0.34860682487487793, 'Widespread Heat Wave/CAISO Implementation of Stage 2 Electrical Emergency Plan', [(0.5, 'Wildfire'), (0.5, 'Flash Flood')])"
242,"(0.34860682487487793, 'Widespread Heat Wave/CAISO  Implementation of Stage 2 Electrical Emergency Plan', [(0.5, 'Wildfire'), (0.5, 'Flash Flood')])"
243,"(0.5051699324890417, 'Severe Thunderstorms', [(0.8518518518518514, 'Thunderstorm Wind'), (0.07407407407407407, 'Hail'), (0.07407407407407407, 'Flash Flood')])"
244,"(0.6130601267019907, 'Severe Thunderstorm', [(0.6666666666666666, 'Thunderstorm Wind'), (0.3333333333333333, 'Hail')])"
245,"(0.7404437065124511, 'Severe Thunderstorm', [(0.9999999999999999, 'Thunderstorm Wind')])"
246,"(0.34630370565823143, 'Tropical Storm Ernesto', [(0.5238095238095237, 'Strong Wind'), (0.19047619047619047, 'High Surf'), (0.14285714285714285, 'High Wind'), (0.14285714285714285, 'Coastal Flood')])"
247,"(0, '', [])"
248,"(0.3407681981722514, 'Tropical Storm Ernesto', [(0.41666666666666663, 'Strong Wind'), (0.25, 'High Wind'), (0.16666666666666666, 'Coastal Flood'), (0.08333333333333333, 'High Surf'), (0.08333333333333333, 'Flood')])"
249,"(0.6347490668296814, 'Tropical Storm Ernesto', [(0.6, 'Tropical Storm'), (0.39999999999999997, 'Flash Flood')])"
250,"(0.3464191726275853, 'Tropical Storm Ernesto', [(0.469387755102041, 'Flash Flood'), (0.2040816326530612, 'High Wind'), (0.2040816326530612, 'Coastal Flood'), (0.1020408163265306, 'Storm Surge/tide'), (0.02040816326530612, 'High Surf')])"
251,"(0.6347490668296814, 'Tropical Storm Ernesto', [(0.6, 'Tropical Storm'), (0.39999999999999997, 'Flash Flood')])"
252,"(0.4757436428751265, 'Severe Thunderstorms', [(0.7142857142857144, 'Thunderstorm Wind'), (0.28571428571428575, 'Hail')])"
253,"(0.40632410964061466, 'Severe Thunderstorms', [(0.5172413793103446, 'Hail'), (0.39655172413793094, 'Thunderstorm Wind'), (0.05172413793103448, 'Tornado'), (0.034482758620689655, 'Funnel Cloud')])"
254,"(0.3986754289321737, 'Severe Thunderstorms', [(0.5789473684210537, 'Hail'), (0.35087719298245645, 'Thunderstorm Wind'), (0.03508771929824561, 'Flash Flood'), (0.02631578947368421, 'Flood'), (0.008771929824561403, 'Heavy Rain')])"
255,"(0.8216375112533568, 'Snow Storm', [(0.9999999999999999, 'Lake-effect Snow')])"
256,"(0.8216375112533568, 'Snow Storm', [(0.9999999999999999, 'Lake-effect Snow')])"
257,"(0.17232726514339447, 'Earthquakes', [(1.0, 'Heavy Rain')])"
258,"(0.563281375169754, 'High Winds', [(0.8999999999999999, 'Strong Wind'), (0.1, 'High Wind')])"
259,"(0.21283787488937375, 'Wet Snow/Winds', [(0.9999999999999999, 'Blizzard')])"
260,"(0.7388165940841039, 'High Winds', [(0.9166666666666667, 'High Wind'), (0.08333333333333333, 'Strong Wind')])"
262,"(0.6101776117628271, 'High Winds', [(0.6818181818181818, 'Strong Wind'), (0.31818181818181823, 'High Wind')])"
263,"(0.3627796769142149, 'Wind/Snow Storm', [(0.9999999999999996, 'Heavy Snow')])"
264,"(0.7999684810638423, 'Ice Storm', [(0.9999999999999994, 'Winter Storm')])"
265,"(0.7116322785615916, 'Ice Storm', [(0.7285714285714279, 'Winter Storm'), (0.2571428571428572, 'Heavy Snow'), (0.014285714285714285, 'Flood')])"
266,"(0.7172456638714696, 'Wind Storm', [(0.8247422680412363, 'High Wind'), (0.12371134020618559, 'Thunderstorm Wind'), (0.041237113402061855, 'Flood'), (0.010309278350515464, 'Flash Flood')])"
267,"(0.770063579082489, 'Wind Storm', [(1.0, 'Strong Wind')])"
268,"(0.6738418400287631, 'Wind Storm', [(0.7250000000000003, 'High Wind'), (0.125, 'Heavy Snow'), (0.05, 'Winter Storm'), (0.05, 'Strong Wind'), (0.025, 'Heavy Rain'), (0.025, 'Flash Flood')])"
269,"(0.4960884228348732, 'Wind Storm', [(0.75, 'Heavy Snow'), (0.25, 'High Wind')])"
270,"(0.6670827485620978, 'Wind Storm', [(0.8250000000000004, 'High Wind'), (0.15, 'Flood'), (0.025, 'High Surf')])"
271,"(0.722443163394928, 'Wind Storm', [(1.0, 'Winter Storm')])"
272,"(0.6738418400287631, 'Wind Storm', [(0.7250000000000003, 'High Wind'), (0.125, 'Heavy Snow'), (0.05, 'Winter Storm'), (0.05, 'Strong Wind'), (0.025, 'Heavy Rain'), (0.025, 'Flash Flood')])"
273,"(0.6023594699800017, 'HIgh Winds', [(0.8250000000000004, 'High Wind'), (0.15, 'Flood'), (0.025, 'High Surf')])"
274,"(0.6600077368319037, 'High Winds', [(0.7250000000000003, 'High Wind'), (0.125, 'Heavy Snow'), (0.05, 'Winter Storm'), (0.05, 'Strong Wind'), (0.025, 'Heavy Rain'), (0.025, 'Flash Flood')])"
275,"(0.6697135820984843, 'High Winds', [(0.8250000000000004, 'High Wind'), (0.15, 'Flood'), (0.025, 'High Surf')])"
276,"(0.6738418400287631, 'Wind Storm', [(0.7250000000000003, 'High Wind'), (0.125, 'Heavy Snow'), (0.05, 'Winter Storm'), (0.05, 'Strong Wind'), (0.025, 'Heavy Rain'), (0.025, 'Flash Flood')])"
279,"(0, '', [])"
280,"(0.5265241861343385, 'Ice Storm', [(1.0000000000000002, 'Winter Weather')])"
281,"(0.3948490798473358, 'Ice Storm', [(0.7, 'Flood'), (0.30000000000000004, 'Flash Flood')])"
282,"(0.36248344182968145, 'Major Windstorm', [(0.6000000000000001, 'Winter Weather'), (0.4, 'Heavy Snow')])"
283,"(0.5087878631382454, 'Ice/Wind Storm', [(0.5853658536585368, 'Blizzard'), (0.12195121951219512, 'Winter Storm'), (0.0975609756097561, 'Winter Weather'), (0.0975609756097561, 'Ice Storm'), (0.0975609756097561, 'Heavy Snow')])"
284,"(0.6767965914805728, 'Ice/Wind Storm', [(0.43999999999999967, 'Winter Storm'), (0.21333333333333335, 'Ice Storm'), (0.17333333333333334, 'Heavy Snow'), (0.16, 'Blizzard'), (0.013333333333333334, 'Sleet')])"
285,"(0.7694777846336364, 'Winter Storm', [(0.5, 'Winter Weather'), (0.3333333333333333, 'Winter Storm'), (0.16666666666666666, 'Heavy Snow')])"
286,"(0.8748765001373902, 'Ice Storm', [(0.7419354838709673, 'Ice Storm'), (0.0967741935483871, 'Strong Wind'), (0.0967741935483871, 'Heavy Rain'), (0.06451612903225806, 'Winter Storm')])"
287,"(0.7724680723622439, 'Ice Storm', [(0.6354166666666665, 'Winter Storm'), (0.18749999999999994, 'Ice Storm'), (0.08333333333333333, 'Blizzard'), (0.07291666666666666, 'Flood'), (0.020833333333333332, 'Winter Weather')])"
288,"(0.7724680723622439, 'Ice Storm', [(0.6354166666666665, 'Winter Storm'), (0.18749999999999994, 'Ice Storm'), (0.08333333333333333, 'Blizzard'), (0.07291666666666666, 'Flood'), (0.020833333333333332, 'Winter Weather')])"
289,"(0, '', [])"
290,"(0.3463774980747536, 'Major Storm', [(0.3835616438356164, 'Hail'), (0.2328767123287671, 'Tornado'), (0.1780821917808219, 'Funnel Cloud'), (0.136986301369863, 'Thunderstorm Wind'), (0.0684931506849315, 'Flash Flood')])"
291,"(0.4265042779346306, 'Major Storm', [(0.47916666666666646, 'Thunderstorm Wind'), (0.43749999999999983, 'Tornado'), (0.041666666666666664, 'Hail'), (0.020833333333333332, 'Lightning'), (0.020833333333333332, 'Flood')])"
292,"(0.32115377187728883, 'Major Storm', [(0.4799999999999999, 'Hail'), (0.36, 'Thunderstorm Wind'), (0.12, 'Funnel Cloud'), (0.04, 'Tornado')])"
293,"(0.4151055335998535, 'Major Storm', [(0.8, 'Thunderstorm Wind'), (0.2, 'Tornado')])"
294,"(0.4181065433300459, 'Severe Thunderstorms', [(0.423076923076923, 'Thunderstorm Wind'), (0.2692307692307693, 'Flash Flood'), (0.15384615384615385, 'Hail'), (0.07692307692307693, 'Tornado'), (0.038461538461538464, 'Lightning'), (0.038461538461538464, 'Flood')])"
295,"(0.9086652994155882, 'Heavy Snow Storm', [(0.9999999999999998, 'Heavy Snow')])"
296,"(0.6395034611225128, 'High Winds', [(0.5333333333333333, 'High Wind'), (0.39999999999999997, 'Strong Wind'), (0.06666666666666667, 'Wildfire')])"
297,"(0, '', [])"
298,"(0, '', [])"
299,"(0, '', [])"
300,"(0.3313361478262935, 'Severe Thunderstorms', [(0.517241379310345, 'Flood'), (0.41379310344827597, 'High Wind'), (0.06896551724137931, 'Coastal Flood')])"
301,"(0.4131959655828643, 'Heavy Snow Storm', [(0.43859649122807015, 'High Wind'), (0.2631578947368421, 'Flood'), (0.24561403508771928, 'Coastal Flood'), (0.05263157894736842, 'Heavy Snow')])"
302,"(0.6768369674682616, 'HIgh Winds', [(0.9999999999999999, 'High Wind')])"
303,"(0.3584283104068354, 'Severe Thunderstorms', [(0.631578947368421, 'High Wind'), (0.2631578947368421, 'Strong Wind'), (0.10526315789473684, 'Heavy Snow')])"
304,"(0.6602502887447675, 'High Winds', [(0.5694444444444443, 'High Wind'), (0.4166666666666668, 'Strong Wind'), (0.013888888888888888, 'Coastal Flood')])"
305,"(0.7371882525357328, 'High Winds', [(0.9090909090909085, 'High Wind'), (0.09090909090909091, 'Strong Wind')])"
306,"(0.41681031715124806, 'Severe Storms', [(0.5124999999999992, 'Thunderstorm Wind'), (0.28125, 'Hail'), (0.13750000000000004, 'Flash Flood'), (0.04375, 'Tornado'), (0.018750000000000003, 'Lightning'), (0.00625, 'Funnel Cloud')])"
307,"(0.47385525201496337, 'Severe Thunderstorms', [(0.705263157894737, 'Thunderstorm Wind'), (0.28421052631578947, 'Hail'), (0.010526315789473684, 'Lightning')])"
308,"(0.511814270700727, 'Severe Storm', [(0.9285714285714283, 'Thunderstorm Wind'), (0.07142857142857142, 'Tornado')])"
309,"(0.38911690699810897, 'Severe Storm', [(0.5714285714285717, 'Hail'), (0.40816326530612257, 'Thunderstorm Wind'), (0.02040816326530612, 'Lightning')])"
310,"(0.36494686422140693, 'Major Storms', [(0.5652173913043477, 'Thunderstorm Wind'), (0.4347826086956521, 'Hail')])"
312,"(0.429746603736511, 'Major Storms', [(0.9615384615384623, 'Thunderstorm Wind'), (0.038461538461538464, 'Hail')])"
313,"(0.46434731889462116, 'Severe Thunderstorms', [(0.5942028985507245, 'Thunderstorm Wind'), (0.3043478260869566, 'Flash Flood'), (0.057971014492753624, 'Heavy Rain'), (0.028985507246376812, 'Hail'), (0.014492753623188406, 'Tornado')])"
314,"(0.7404437065124512, 'Severe Thunderstorm', [(1.0, 'Thunderstorm Wind')])"
317,"(0.5237227837244669, 'Severe Thunderstorms', [(0.9333333333333332, 'Thunderstorm Wind'), (0.06666666666666667, 'Hail')])"
318,"(0.4650270329949306, 'Severe Storms', [(0.69135802469136, 'Thunderstorm Wind'), (0.16049382716049382, 'Flood'), (0.07407407407407407, 'Flash Flood'), (0.04938271604938271, 'Hail'), (0.018518518518518517, 'Heavy Rain'), (0.006172839506172839, 'Tornado')])"
319,"(0.5098501100855053, 'Severe Storm', [(0.830188679245283, 'Thunderstorm Wind'), (0.1509433962264151, 'Tornado'), (0.018867924528301886, 'Lightning')])"
321,"(0.5231273571650187, 'Hurricane Humberto', [(0.3333333333333333, 'Tropical Storm'), (0.3333333333333333, 'Hurricane (typhoon)'), (0.3333333333333333, 'Flash Flood')])"
322,"(0.6355932394663494, 'High Winds', [(0.5333333333333333, 'High Wind'), (0.3333333333333333, 'Strong Wind'), (0.13333333333333333, 'Heavy Snow')])"
323,"(0.3730685029711041, 'Tropical Storm', [(0.7857142857142855, 'High Wind'), (0.21428571428571427, 'Coastal Flood')])"
324,"(0.3546711802482605, 'Tropical Storm', [(1.0, 'High Wind')])"
325,"(0.7999684810638428, 'Ice Storm', [(1.0, 'Winter Storm')])"
326,"(0.8772741377353669, 'Ice Storm', [(0.8, 'Ice Storm'), (0.2, 'Flood')])"
327,"(0.5787286677143787, 'Winter Storm', [(0.6060606060606056, 'Thunderstorm Wind'), (0.1969696969696969, 'Winter Storm'), (0.18181818181818177, 'High Wind'), (0.015151515151515152, 'Winter Weather')])"
328,"(0.3527946606062462, 'Severe Thunderstorms', [(0.492753623188406, 'Strong Wind'), (0.492753623188406, 'High Wind'), (0.014492753623188406, 'Wildfire')])"
329,"(0.38314671012071466, 'Severe Thunderstorms', [(0.58974358974359, 'High Wind'), (0.2051282051282051, 'Thunderstorm Wind'), (0.2051282051282051, 'Strong Wind')])"
330,"(0.7793945286955151, 'Wind/Ice Storm', [(0.8571428571428569, 'Winter Storm'), (0.14285714285714285, 'Blizzard')])"
331,"(0.5986918942494825, 'High Winds', [(0.7272727272727272, 'Thunderstorm Wind'), (0.18181818181818182, 'High Wind'), (0.045454545454545456, 'Tornado'), (0.045454545454545456, 'Strong Wind')])"
